TEA,SLN,AreaSqMi,popaduE,popaduM,bachE,bachM,profE,profM,k34E,k34M,multdegE,multdegM,k34esE,k34esM,multdegCV,k34esCV,oostct,oostcap,oostcap_me,qualcc,kidsE
244,244,12.5663706144,8295,749,417,187,86,73,466,246,503,201.518583083,153,158.475766219,24.2976333038,65.0102710769,0,0,0,1,5038.2843229
173,173,12.5663706144,32200,3102,5245,1404,2792,911,1809,1007,8053,1732.30815448,910,788.849324251,20.2778582652,73.144790071,29,2899,99.9655172414,1,13285.6891955
194,194,12.5663706144,35733,3431,11666,2177,8248,1861,1138,769,19912,2890.28490772,708,670.430544075,7.6712872663,50.4780990319,13,1199,92.2307692308,1,9683.17797078
107,107,12.5663706144,35024,3326,4993,1262,2593,916,1634,824,7592,1606.8407346,664,623.033536713,14.7891958439,62.8194857912,13,737,56.6923076923,1,15137.6131918
13,13,12.5663706144,26129,2851,3321,1213,1209,559,957,736,4578,1399.84196026,437,596.667809293,29.9857531038,67.2583839012,28,2353,84.0357142857,2,10550.7624991
16,16,12.5663706144,38345,4106,2634,1156,1064,634,2260,1316,3763,1405.16059748,978,964.344383897,26.7062265463,59.3286921687,44,3188,72.4545454545,6,19461.2050632
7,7,12.5663706144,35494,2970,8235,1593,5818,1290,1359,726,14044,2102.4271111,643,593.520111982,11.0297275709,69.8416618966,15,979,65.2666666667,0,13587.3431471
21,21,12.5663706144,35878,2952,12214,2279,7803,1740,1161,791,20010,2908.51154488,498,578.125988884,8.51181544426,58.1255629278,17,1724,101.411764706,0,10414.3545393
28,28,12.5663706144,56392,5535,17381,3880,10144,2721,2446,1500,27542,4783.27285588,1022,1125.8211963,11.8392496571,64.6028084096,28,3107,110.964285714,1,17299.5062035
14,14,12.5663706144,39804,4050,1442,941,515,541,3006,1488,1974,1149.34334841,747,830.259754038,39.960885806,71.7683465522,26,1742,67,1,25861.431196
17,17,12.5663706144,23428,2303,628,474,252,279,1644,838,888,589.37933759,445,495.46771708,39.2364822057,96.6934744457,14,912,65.1428571429,0,14968.6915259
25,25,12.5663706144,34681,3195,3214,1148,1551,735,2200,1205,4784,1409.60686291,530,606.136337282,24.2982632209,71.2908805876,14,868,62,0,18388.228787
9,9,12.5663706144,15936,2206,852,502,322,311,842,641,1198,642.979262743,341,478.383589173,41.2708311693,81.6886123617,29,2272,78.3448275862,1,7008.60299141
206,206,12.5663706144,37021,3087,8253,1784,5499,1433,1843,1069,13769,2338.38899866,689,649.904107644,12.8305062404,50.5192930202,21,1504,71.619047619,0,13747.946857
263,263,12.5663706144,19739,2425,968,609,375,301,857,685,1374,730.038407846,284,428.975783786,39.0305209842,39.6314770362,20,1540,77,1,8919.62733049
51,51,12.5663706144,31131,3686,1560,926,520,399,1519,1062,2118,1073.18508386,608,718.080629412,35.4686378521,52.6863499963,35,2391,68.3142857143,4,14683.6056575
273,273,12.5663706144,36335,3725,1308,863,471,513,2647,1346,1792,1060.24255414,747,795.094197599,39.2835944829,66.6112170927,23,1508,65.5652173913,1,23666.7537543
