TEA,SLN,AreaSqMi,totalpopE,popunisE,popinsE,priE,pub,bphighE,casthmaE,checkupE,SUM_mhlthE,obseityE,phlthE,sleepE,strokeE,POP,SCHOOLNAME,STD_hel_le,MEAN_hel_l,pharm,clinicct,groc,avgfruits,avgveg
301,301,12.5663706144,7456,1518,5937,3092,3126,2796.82873288,619.68116614,4291.55319709,851.935898252,2445.93051853,962.246891653,2247.60205116,343.924129336,7450.41467491,Wilmer-Hutchins Elementary School,2.55077019181,75.4537218391,2,1,0,163.590397479,175.195153622
235,235,12.5663706144,41691,8921,32774,16941,18067,18281.7605359,4868.9829812,30495.8534941,7073.31415915,18165.542667,6864.54877164,16993.2443805,2067.08002254,41601.6457067,Alexander Elementary School,1.25951129229,67.1036901015,15,1,3,159.625750123,162.611307088
175,175,12.5663706144,39935,8433,31506,16489,17385,17728.6337144,4648.65705462,29318.4301981,6725.97262355,17423.1397704,6633.06081515,16230.678648,2038.12136086,39847.8162883,U. Lee Elementary School,1.64683261225,75.1920560054,5,0,3,166.622268185,171.772386296
264,264,12.5663706144,40762,8118,32654,17787,16721,15182.5219867,4217.13533764,26032.9731735,6160.42693765,15554.5433663,5712.49243383,14718.9406872,1644.19319692,40666.5239663,McNair Elementary School,1.63822598083,59.5735461641,23,1,3,158.307062598,160.75043568
226,226,12.5663706144,32265,6873,25401,13372,13926,13645.0071045,3604.07810576,22530.8391085,5328.57299791,13518.053981,5260.81346927,12574.840579,1599.53326292,32181.8638673,Weiss Elementary School,2.39303486009,75.5122175424,4,0,3,161.647806707,167.958986593
109,109,12.5663706144,35607,11881,23712,10176,14117,12898.1586766,3751.17685468,23235.2994635,6709.27739677,14790.3548537,6380.18747698,13816.9561691,1493.29370439,35520.1658031,Blair Elementary School,1.25463112445,75.2205654515,6,1,2,147.136620004,151.093218065
117,117,12.5663706144,29492,9869,19619,7910,12373,10924.5465158,3136.98889701,19493.9912174,5495.4208926,12256.3577584,5262.26274914,11505.9157428,1292.98483154,29429.0407269,Burleson Elementary School,2.44734530209,74.8009860506,1,0,2,140.332350522,142.67933126
266,266,12.5663706144,39312,13161,26131,11248,15624,14179.3866531,4095.39810073,25657.5863501,7303.58674762,16171.1954994,6986.2916246,15156.7503893,1637.83304035,39241.8444702,Douglass Elementary School,1.52915575611,75.4887245172,3,0,5,146.110018023,150.337405396
108,108,12.5663706144,59429,13757,45684,30262,18173,22505.5127063,6435.56590758,43935.7513793,10096.1817756,23710.2950381,9474.93150044,23471.318438,2299.56886497,65289.4404007,Bayles Elementary School,2.21849494519,71.5603940273,13,1,4,189.235806217,196.666113404
129,129,12.5663706144,63973,14650,49332,32888,19692,26502.8153027,7531.49814651,51093.1244583,11945.8619424,27751.1852199,11272.2882113,27332.4747072,2733.8499934,75880.677379,Conner Elementary School,1.76474190811,76.469733513,15,2,4,191.639932643,198.894593365
218,218,12.5663706144,67470,17006,50463,32842,21059,30446.1546694,8659.88837699,58844.2221089,14247.826961,32354.6992951,13540.1800793,31602.1488697,3168.3206646,88792.4376903,Truett Elementary School,1.29474238888,77.6808476696,17,2,6,188.332719544,196.104401407
216,216,12.5663706144,66484,19212,47260,24576,24560,23495.2748039,6791.26740544,43390.3172897,11748.4386153,26659.1510288,11064.2695605,25173.3727753,2519.67586668,66206.4203783,Titche Elementary School,1.95960775737,75.1119053133,10,1,8,168.746451983,178.623465914
139,139,12.5663706144,46510,13407,33091,15084,18895,18432.676439,4903.65531261,31436.2913083,8138.35740622,19289.414094,8262.10270224,17950.3144497,2287.97254847,46351.7115591,Dunbar Learning Center,3.81238080122,63.4723085958,19,9,4,138.489984235,144.327235228
240,240,12.5663706144,62003,16688,45314,26660,21129,23990.0490357,6800.77316972,45050.5067672,11104.4763549,25745.2835165,10544.3175275,25173.9781599,2538.21403194,67099.6474177,Guzick Elementary School,1.86569282661,76.5680515861,15,2,5,175.529213896,182.969902202
128,128,12.5663706144,33403,8110,25273,13037,12966,14212.1582427,3642.44485323,23378.1857995,5581.36202434,14059.4729986,5676.02879981,13210.6029789,1830.35895107,33138.9870917,King Jr. Learning Center,3.47243023183,53.9927477786,21,8,4,147.897900597,155.069230201
200,200,12.5663706144,31613,9007,22593,8441,14765,14458.7845062,3647.0566517,22426.1219319,5858.56377846,14226.1722913,6244.78084757,13005.7216876,1958.78767262,31523.8345642,Rhoads Learning Center,3.46822683046,69.5401032734,11,7,3,124.951448697,128.418344806
201,201,12.5663706144,27135,6979,20147,8357,12438,12837.1216043,3178.94754432,19652.2834124,4886.78979173,12300.999244,5193.98346286,11299.7623932,1745.06869577,27020.9536029,Rice Learning Center,2.8801266858,63.3666495866,11,7,3,131.878537563,136.038348941
232,232,12.5663706144,56773,15495,41285,24540,18832,20392.1241187,5719.40588093,38620.1298828,9264.52402596,21704.4446778,8916.35230837,21224.0011409,2174.57022202,57684.8366739,Rowe Elementary School,2.02924452534,72.6199600253,13,2,3,171.241477791,177.671516356
209,209,12.5663706144,41144,11751,29396,13978,16564,16009.6515178,4311.91651936,27799.6416807,7214.86315938,16838.8185251,7283.30145677,15895.034044,1927.35749457,41118.5773944,Silberstein Elementary School,2.39698089795,73.6579818428,6,3,0,145.8122715,150.445819812
155,155,12.5663706144,57908,16070,41830,22136,21503,20491.8280993,5922.79872442,38182.5666385,10043.6749249,23033.9989698,9392.17227528,21931.2854213,2162.20166106,57688.1824472,Tatum Jr. Elementary School,2.34442555268,75.5040788589,9,1,3,173.470390017,182.472214281
247,247,12.5663706144,57067,16536,40530,22792,19525,20336.6317376,5736.71987341,38086.8212041,9575.52564536,22363.2891536,9112.24470968,21656.6202321,2148.4707195,57179.8444377,Callejo Elementary School,2.2838215725,75.9135551735,12,2,4,169.834174073,178.391582656
162,162,12.5663706144,79181,6645,72513,65573,12089,14353.6733931,4831.18110659,39296.8144193,6509.09043257,15911.4957903,4945.8561807,17845.6761547,1060.49325768,76458.2729917,Mockingbird Elementary School,2.13554019141,74.8075827859,25,2,13,230.889463237,240.171814914
174,174,12.5663706144,84722,11233,73478,62090,15518,18551.0877094,6052.18568023,47107.1730647,8846.39976007,21175.6976149,7130.36886794,22628.8107468,1480.27541439,82187.8764439,Geneva Heights Elementary School,2.55340060208,76.175289194,21,2,14,221.050438894,231.693432956
177,177,12.5663706144,74593,15046,59527,44048,17631,20386.7250191,6363.79258043,46968.540973,10071.1814529,23693.5690341,8678.24665491,24070.0522401,1817.26589663,74342.4106727,Lipscomb Elementary School,3.74839529268,66.4295094858,24,5,11,195.903875127,205.813279279
184,184,12.5663706144,105314,12665,92639,79647,17990,21024.2626695,7245.2158924,56535.5617643,10456.8436472,25090.8836586,7962.02880891,27527.6439063,1605.79119686,103992.489613,Milam Elementary School,2.62534494919,68.7075165991,39,7,16,222.890169282,233.003834101
203,203,12.5663706144,76158,11584,64566,52864,16729,18475.249088,5783.23226852,44508.2534275,8600.06924005,20048.188589,7052.26160602,21637.8347783,1548.82790796,73921.0375473,Rogers Elementary School,1.56526780485,64.5403590171,31,7,12,222.745942569,225.864113708
281,281,12.5663706144,101789,14665,87109,71524,19597,23729.9903288,8078.05687519,61789.3619795,11948.0880568,28371.6243444,9349.67864817,30552.3136634,1903.00233724,101469.863806,Chavez Learning Center,3.49543686261,59.7629878414,48,11,18,208.550800225,219.594707881
145,145,12.5663706144,58490,21292,37181,24863,14776,16886.8213903,5036.07805482,36141.1242652,9123.50983112,20145.2859063,8262.1959026,19691.3869181,1502.10119704,58333.2402711,Foster Elementary School,2.28827240015,65.8959801645,9,2,6,220.623872487,227.813318359
168,168,12.5663706144,40041,12169,27870,19996,9695,11319.5277401,3330.20742463,24836.2656315,5761.03676159,13424.1156655,5090.67919031,13435.4791925,990.968990598,39958.6330155,Knight Elementary School,2.44576881322,38.9715142479,34,10,6,198.145309861,205.487275232
