TEA,SLN,AreaSqMi,thhE,thhM,oohhE,oohhM,rohhE,rohhM,ocb1E,ocb1M,ocb2E,ocb2M,ocb3E,ocb3M,ocb4E,ocb4M,ocb5E,ocb5M,rcb1E,rcb1M,rcb2E,rcb2M,rcb3E,rcb3M,rcb4E,rcb4M,rcb5E,rcb5M,bb1E,bb1M,bb2E,bb2M,bb3E,bb3M,bb4E,bb4M,bb5E,bb5M,commctrs,libct,SUM_SqMi,aduincar_c,STD_TotOff,aduincar_m,rv1,rv2,rv3,rv4,rv5,bv1,bv2,bv3,bv4,bv5,rvp,bvp,ltrvp,ltbvp,juvcrime_3,juvcrime,adupopE,popE,juvpopE,evf,avgevf
202,202,12.5663706144,25976.76286,2107.59547158,7625.20249607,1555.11216136,18351.5603639,2313.02217334,697.654575223,608.54324042,436.842800416,477.753670507,245.512877624,405.147069439,305.161481508,457.895748544,260.145985315,398.838746477,4294.15465674,1635.06354209,2397.50728455,1310.04708301,897.25582285,723.933761793,412.722264841,509.566719859,84.1838194334,307.162433277,9096.64229321,3355.86955242,30070.5867427,4965.07990801,2784.7094918,1361.29475341,61446.4275846,7413.95771648,14162.0678112,4141.05316966,10,2,1.44077807727,411,2.47287410556,5.1739849019,35844.0748745,80.5055748816,81,93.5327441086,1022.81121998,3623.84025031,0,6.6477880091,15,264,0.0390919691225,0.0992062883112,0.0346808467497,0.096320650758,1053,351,49765.4976238,62168.5894847,6820.60945749,3422,1711
131,131,12.5663706144,42067.1601778,3375.22181053,10548.0424721,2256.8355492,31519.1177057,3641.65996383,716.813106273,713.446928687,460.2348613,607.836734413,348.246071932,566.25182626,474.824582458,619.015478736,571.260664883,699.517901301,4867.2452529,2006.48318533,2996.73436385,1637.07045278,1852.21159634,1223.05675352,1659.82247554,1164.05972216,367.634618761,580.868183636,9505.25223374,3704.6316428,53900.6409149,7331.31838392,3740.02433705,1842.45214314,83705.0342084,9386.06222705,13322.2809805,4179.89006305,9,3,0.903371522163,382,2.45058477776,5.14245646793,61074.6086039,125.197764689,144,113.019433327,757.44461672,8275.3355886,103,98.959675207,67,973,0.0243958634072,0.103850698282,0.0197359467939,0.0953396689948,1056,352,73188.9296769,84900.6451969,10505.4131099,4384,2192
122,122,12.5663706144,8979.48027664,610.150143643,3566.67454904,621.25578811,5412.80572759,755.893419466,439.842603861,328.27792897,126.459088968,158.837377718,77.2504551997,140.76197432,79.0229492077,152.827883408,101.289810185,152.584448936,1292.53857461,456.279046293,660.592303927,357.32814911,228.154731973,222.515348713,198.875174776,185.440303387,19.8178920851,118.896754355,5014.56282052,1563.82200032,11356.3721681,1838.62999437,1224.6590016,488.458645374,25811.6482812,2722.71662225,7358.09818265,1652.7110778,6,1,2.3381832719,208,2.12468485058,4.51955716059,12635.4678434,1.34890996298,1,6.37964449386,250.740118736,4171.87112208,0,7.39087501949,22,374,0.0170911663228,0.0911551407099,0.0167861715962,0.0900825850589,469,156,21935.0473937,26133.5727663,4005.10418787,721,360.5
260,260,12.5663706144,15548.4529993,1044.04590494,5102.46098611,914.16257914,10445.9920132,1200.3922708,487.227090672,394.733179608,167.276621725,241.526687518,85.6223324063,177.839187191,165.493687842,241.998598723,299.464246573,290.740829135,1662.27125602,674.808474366,1095.83317673,591.422824273,504.372343976,384.369481768,557.013307814,365.262392452,162.718006999,208.945096388,5921.32146504,1946.33638924,20106.7403607,2634.55656724,1983.18419019,730.944834135,36743.0261185,3612.70085036,8178.34427947,2055.49600766,7,1,2.32549667417,227,1.74177880502,3.82296331422,23593.7162903,160.677067458,95,15.0624752869,364.881731374,5294.26313874,31,28.9596472507,18,551,0.0185563252448,0.0971548466752,0.0167137655198,0.0944227718784,489,163,31866.3512031,37156.6558292,5171.75654417,1075,537.5
105,105,12.5663706144,7026.59829167,450.107245804,3272.6579861,518.95477226,3753.94030557,599.194286949,386.500311275,248.149521994,317.073971159,246.445057808,117.931547046,142.13005631,46.8327049101,110.099167982,0.362379753852,85.9909449503,734.740770613,354.056822177,625.33568362,367.217644579,193.106412639,189.169202349,51.9491821967,125.114059297,0,86.126837358,4732.24139492,1406.96442297,9737.87926564,1854.76129112,682.347431685,350.094024305,24650.447996,2305.88795184,8264.31065948,1601.6015986,2,1,0.550821411546,223,4.14187920159,13.5678899553,7719.75043837,1.90836841448,2,5.51342146621,175.574834683,882.322169993,0,0.725412708268,1,32,0.0282406229064,0.0633899135777,0.0267111262475,0.0610471802514,296,99,17114.9377691,24642.2096172,3671.03930745,455,227.5
103,103,12.5663706144,5796.94987838,359.300974617,3145.10522318,458.557626829,2651.8446552,501.863474378,347.9473138,222.833475067,282.479234295,205.269760666,139.95545365,154.979250451,54.4997957811,108.279396892,3.81393135977,71.6184824083,495.987070477,248.05692956,321.622063179,237.651978121,228.04668765,197.73725376,36.027797487,97.8884042815,0,73.0487066682,4843.48295919,1204.28967737,9258.08950618,1521.15941453,697.398057576,321.241213544,20801.1742347,2145.98363888,7002.41109228,1275.37325668,1,1,1.11508721836,235,6.2842183439,18.6204341887,6731.80407904,0.310859047627,0,3.58855381065,137.109894017,1536.44781679,0,1.802513732,4,146,0.0234717104669,0.0963662861482,0.0229617082497,0.0947605102902,166,55,14961.7343032,20842.6240017,3228.13459036,150,75
116,116,12.5663706144,20557.3869642,1195.85276081,8672.88572656,1064.66666966,11884.5012376,1297.89286344,393.777724753,353.784930655,477.912427196,419.07272414,336.531255311,352.235823294,461.282997228,418.40653396,473.430594149,421.118650745,1847.17361667,838.84790661,2678.31430432,955.251233871,642.432898505,517.33111777,191.894257044,267.580756338,17.8626007453,219.615922976,11406.7969416,2885.41248724,27988.7509839,4230.0831723,3438.32660229,1114.23264832,60946.2579953,5488.71076691,16473.5704279,2948.32500114,2,1,0.308063320559,92,1.1953418153,2.47183508098,25585.7566512,18.0888732451,19,19.6316144841,294.625696836,3715.34777557,0,20.1754824245,11,415,0.0105444699946,0.100580236287,0.00853741400111,0.0966653857358,560,187,46427.4902232,60820.089492,7633.17389438,1588,794
278,278,12.5663706144,21541.5354065,1250.3840793,9714.16515368,1135.34644824,11827.3702528,1344.68679908,438.393723251,386.26967915,527.135681818,452.705975415,370.098562015,384.36749555,524.353666588,459.054135376,585.596873073,481.305167026,1830.661136,847.367004666,2674.26691511,969.813347903,634.063368475,534.947416005,178.952995497,268.300802633,24.361918237,239.135485879,12008.0770225,2966.69184134,29495.9878562,4398.11058055,3877.90120206,1202.40066867,63727.8932014,5703.46778727,17106.9898521,3027.82017887,3,1,0.310691771799,86,1.10206742339,2.27068304583,26339.3271468,20.3452096563,19,18.7469646504,303.318318778,3308.57075644,0,17.1701892067,8,368,0.0117286091376,0.0958609041568,0.00931687043935,0.0922313257509,554,185,48560.2712981,63599.7625456,7776.94164728,1563,781.5
265,265,12.5663706144,6004.46383675,357.77839769,2700.12921945,439.246606063,3304.33461731,489.029985402,343.326115773,222.525346745,210.861605019,175.572655496,114.993441913,130.272250648,28.4574344767,91.9768213532,1.17012390367,73.431861622,907.188160408,290.221808794,303.643700597,215.423443144,183.35237804,172.436529336,41.644978378,95.2779299346,0,73.8706580859,4672.94797902,1273.66790566,8575.83671871,1435.71002372,645.790885774,305.964566453,19907.764746,2075.91578412,6708.96260242,1299.73508018,2,0,1.61718410675,239,5.95103939261,17.6093103239,7086.38191818,0.452098258911,0,2.03411002652,114.094620903,2559.39661452,0,3.47227450856,13,234,0.0179092816767,0.0980349882004,0.017783327588,0.0971024391173,305,102,15234.6845026,20010.3099247,3390.630152,263,131.5
271,271,12.5663706144,17449.6174019,998.125322481,6109.05832166,833.199016382,11340.5590803,1108.92448634,335.61187294,302.278345445,342.225906627,321.916750607,251.695176609,274.920177233,294.772640676,305.645633621,283.867090322,289.958248624,1776.21978563,765.940863492,2555.84247374,882.824370966,587.381773981,439.395192297,209.513127844,254.209492625,2.42990778705,167.628195641,9560.12670466,2529.50958624,23168.345421,3621.29603288,2533.67846827,902.402667298,51894.8356512,4718.76454149,14265.8301104,2592.93833503,1,1,0.969082194415,111,1.55466952457,3.43296235071,22559.6654225,13.4307897954,15,19.9420063864,266.399962582,4323.78428627,0,22.0720680534,16,479,0.00881330313097,0.116237404113,0.00742254730883,0.112060620277,519,173,39842.3463246,51802.8516612,6982.11923248,1730,865
