TEA,SLN,adupopE,adupopM,popE,popM,belpovE,belpovM,kidsE,kidsM,cbpE,cbpM,u5E,u5m,u5bpE,u5bpM,econ_5t17E,econ_5t17M,econ_5t17b,econ_5t1_1,juvpopE,juvpopM,unemE,juvunemE,urE,urM,medincM,pyrE,pyrM,AreaSqMi,blockcount,lwjobs,mwjobs,totjobs,paydayct,creditunio,retailbank,medincE,MEAN_eco_2,econ_popov,econ_pop_1
136,136,54566.3403631,4804.47848178,75305.2382739,6859.13353004,17465.2728225,6242.69558724,23122.7178953,4554.01080952,7722.79076977,3602.28554258,6364.1432051,2384.8236011,2038.35268878,1362.77671794,16758.5746902,3795.26585628,5684.43808099,2848.72213374,11052.2978382,2772.99335183,3204.9941787,2432.08193619,6.29678378259,3.2398553778,9844.99178739,23.2518221041,28.3569453546,12.5663706144,212,2978,5261,11032,11,1,6,23277.6700187,2780.92109827,54565,4785
149,149,58090.0185576,5008.22067027,79687.8734148,7094.87676467,17410.0853526,6331.98788385,24184.9859569,4722.12276949,7443.0250816,3570.97807401,6787.89437693,2540.5235321,2034.75313521,1382.2968674,17397.09158,3870.59313877,5408.27194639,2758.59678728,11676.5760598,2930.74804457,3949.12521435,3423.96104881,7.72145500998,3.51424599153,9590.36404457,32.0085094,29.1597094409,12.5663706144,204,2670,4844,9819,10,0,6,24133.4768388,2900.64295779,58084,4987
152,152,64647.7033806,6335.39120764,88979.6073658,9211.29667654,21053.5693898,7581.67604995,27798.9081099,6046.78988,9223.46966181,4683.20221593,7744.74080048,2971.79657321,2907.30320134,2025.12511108,20054.1673094,4911.788592,6316.16646047,3430.28804692,13597.8310345,3652.36360324,5580.5237629,6520.42174619,8.72760571542,4.16068452444,8063.86804501,48.0023369475,38.853236288,12.5663706144,326,4891,7035,15651,22,1,13,23602.725998,3301.82190511,64639,6307
157,157,42378.1675292,4102.61610574,53336.8487073,5987.30231671,11540.545867,4379.10664945,12885.9993447,3551.0737651,4372.20689411,2652.54366889,3511.43773467,1798.61452229,1225.01832016,1102.31833655,9374.56161004,2904.76033658,3147.18857394,2061.04406883,6621.90844702,2118.70012383,3027.58457797,3404.75678586,7.23451971666,3.88067562966,7586.93420025,48.9037408884,56.8574689666,12.5663706144,423,10816,17598,55108,12,2,8,28925.2979506,5103.22077214,42380,4085
158,158,64004.0860085,5915.66516504,86336.9448367,8559.14603218,18537.2804821,6850.95987009,25073.2550567,5600.48182758,8198.3861365,4164.23354521,6963.59780705,2678.48286149,2358.38977097,1626.7618665,18109.6572496,4679.93010626,5839.99636553,3229.4030163,12308.3934369,3332.69700337,4258.73585788,4160.71537913,6.62150648034,3.44721539024,8906.47189356,34.8617140126,40.7803402335,12.5663706144,353,5181,8917,19588,20,0,15,26566.30885,3770.3061466,64002,5885
275,275,53935.4050155,5021.24676924,72030.1865158,7152.00607876,16007.8547405,5797.13575495,20398.3919884,4636.83975198,7157.03264653,3591.58601292,5496.47692592,2165.9342855,1903.8193861,1373.06637108,14901.9150625,3984.74443886,5253.21326043,2835.06645888,9885.33413614,2751.74345461,3316.4210991,2814.91338363,6.09863806768,3.35151672904,9035.23017428,31.3396677839,41.3530239058,12.5663706144,327,4243,8211,19370,12,0,7,26397.1605749,3890.55643738,53934,4987
190,190,58469.7787817,5257.59816191,79580.6181923,7540.6172986,17383.3999271,6253.99989068,23543.033756,4983.01698006,7805.54604771,3769.26707579,6397.38470382,2447.07711722,2170.37627963,1518.58862041,17145.6490522,4203.28753843,5635.16976808,2916.91012743,11322.6474197,2972.84751308,3464.63876445,2642.73138602,5.97740940963,3.18612127859,10058.9681935,23.1436938216,35.132458301,12.5663706144,267,4164,7488,17493,13,0,12,25094.7809062,3506.45714086,58466,5225
192,192,57343.4012703,5704.19422539,77058.5776657,8383.95197897,17315.9818499,6573.44983997,22251.2312719,5295.58239818,7550.20078995,4139.5086478,6021.36174583,2586.71015787,2238.98366246,1749.5047131,16229.8695261,4348.33003159,5311.21712749,3121.05540923,10799.9752621,3143.43665792,4967.45538074,5551.78714208,9.00442847843,4.44540276592,8017.67165154,54.537991272,45.5468891437,12.5663706144,389,5984,9604,23458,18,3,8,26321.3714662,4242.70556191,57349,5681
197,197,51442.6724593,5115.74973265,67588.7286901,7500.19453283,14619.1276887,5681.03580166,18366.2860546,4710.56472081,6283.95739741,3576.14397001,5063.39912233,2303.5868127,1802.99165561,1517.69987454,13302.8869323,3870.94071887,4480.9657418,2734.04725689,9029.27191273,2766.69338144,4067.88146237,4530.22838842,8.13184140751,4.20284013113,7740.10692629,53.7570516296,49.279978381,12.5663706144,412,6556,11521,27912,17,2,10,27509.221708,4524.98087596,51437,5093
204,204,53079.9957884,5092.72508775,70146.1784397,7388.3981084,15657.1517793,5700.0940544,19324.5540011,4687.92595586,6924.69560158,3575.43063673,5312.78234684,2204.88912941,1845.88291802,1365.30785615,14011.7716543,4014.03031661,5078.81268356,2844.64701564,9620.53561116,2779.1504035,3553.46777951,3288.85738552,6.40166386785,3.43269686071,8474.1449985,37.911943095,44.5161556712,12.5663706144,406,6706,12724,29983,14,2,11,27251.8089218,4098.55214455,53090,5067
