TEA,SLN,AreaSqMi,hhcE,hhcmhE,hhcmhM,hhcfhE,hhcfhM,tphhE,affcc,affcc_capa,lcc,kidsE
174,174,12.5663706144,7757.03196141,578.555405131,714.428285174,1788.85658548,1258.02715862,5389.6199708,5,426,32,14304.9416866
177,177,12.5663706144,6962.73096532,591.732655507,657.724744808,2097.68040783,1288.01844702,4273.31790198,6,475,32,14963.2905282
184,184,12.5663706144,7363.06697127,664.592527746,899.061066799,1961.51287387,1371.28225873,4736.96156965,5,487,29,13619.0573115
203,203,12.5663706144,8089.10706271,544.285982247,663.859016546,1402.47639996,1044.67102212,6142.34468051,3,480,24,15433.1513315
281,281,12.5663706144,6392.25853157,690.836649981,899.961549388,2086.16227878,1418.85096631,3615.25960281,5,426,35,12841.4358957
145,145,12.5663706144,7027.4691812,347.637453031,378.713161075,1392.81968784,696.7262292,5287.01204033,6,271,11,15392.1585337
168,168,12.5663706144,3502.72426099,266.90901932,323.162929883,700.176560812,477.104025874,2535.63868086,6,766,12,8053.89460335
181,181,12.5663706144,4179.0182149,365.536048892,469.750177647,773.904831738,606.080913246,3039.57733427,6,741,13,8292.49232602
283,283,12.5663706144,3615.21712828,375.399891369,561.443963473,957.850143085,739.49197625,2281.96709383,4,654,12,7391.28498091
188,188,12.5663706144,6027.95035484,539.851681526,550.056690808,1892.74040979,1114.60056079,3595.35826352,9,541,22,14601.0668192
202,202,12.5663706144,5536.07599676,578.421121049,597.498354935,2099.69000138,1180.27842004,2857.96487433,14,716,31,14044.4849325
131,131,12.5663706144,5935.70980546,684.498428982,803.687923314,2200.74195188,1388.11039688,3050.4694246,10,980,35,13241.0203761
122,122,12.5663706144,2805.45254536,210.485738191,234.401115845,1206.52512737,481.988311869,1388.44167979,10,750,14,7333.79184578
260,260,12.5663706144,3409.01852578,312.13736132,344.310614993,1429.70560561,628.715691822,1667.17555885,10,677,16,8140.93577419
105,105,12.5663706144,2895.12148165,218.837124167,188.516609708,1046.38822752,422.342641962,1629.89612996,4,252,10,8236.84874321
103,103,12.5663706144,2488.63432714,257.970695137,202.676426296,879.592931573,370.074441441,1351.07070043,3,181,8,7001.26096985
116,116,12.5663706144,7387.49989968,375.683024833,400.206860542,1613.21370064,800.888617522,5398.60317421,4,157,8,16323.5968065
278,278,12.5663706144,7740.70586958,382.00284297,412.621021745,1649.76938891,834.181055107,5708.9336377,4,157,12,16958.7288002
265,265,12.5663706144,2414.21447652,228.310178536,184.581951763,1079.55866579,372.352729724,1106.34563219,6,466,10,6708.50964478
271,271,12.5663706144,6240.71523955,328.74675495,339.460747665,1421.57687059,667.196201376,4490.39161401,5,259,7,14118.0412403
272,272,12.5663706144,9526.4078448,857.795178415,783.420219677,2930.41489632,1352.37400248,5738.19777007,16,1610,23,27712.0917783
289,289,12.5663706144,5696.67855283,642.818410075,621.301581485,2137.42113222,1064.34165785,2916.43901054,13,1086,24,15633.7776664
112,112,12.5663706144,4768.71944653,582.699150927,572.664584565,1772.85429133,926.890942647,2413.16600427,12,950,23,12600.6755698
130,130,12.5663706144,9247.50915762,764.570770272,706.085375279,2807.27651479,1286.7503691,5675.66187255,15,1312,19,26722.4306236
136,136,12.5663706144,7889.24625676,534.016418886,504.888168583,2490.02267274,1066.29817072,4865.20716514,12,1242,16,23122.7178953
149,149,12.5663706144,8360.60763659,646.667702622,586.243210495,2600.71574319,1151.12932742,5113.22419078,10,1217,13,24184.9859569
152,152,12.5663706144,9370.0177356,871.519735825,795.60760954,2865.15096826,1353.42211324,5633.34703152,25,2391,34,27798.9081099
157,157,12.5663706144,4968.62360519,595.543209513,588.869791542,1717.59561638,907.421009145,2655.4847793,13,981,24,12885.9993447
158,158,12.5663706144,8885.34185268,720.683649487,711.044051601,2639.97604669,1252.68172903,5524.68215651,17,1622,24,25073.2550567
275,275,12.5663706144,7414.70423779,550.28649986,572.374945793,2223.72533092,1048.80929499,4640.69240701,20,1818,25,20398.3919884
190,190,12.5663706144,8179.05787222,577.57013587,576.824131981,2307.05356123,1110.35921063,5294.43417512,17,1695,22,23543.033756
192,192,12.5663706144,7904.85886232,865.253554271,785.624456843,2574.51355942,1262.71242897,4465.09174863,23,1936,35,22251.2312719
197,197,12.5663706144,6772.23538622,745.449804816,699.74596825,2259.2003742,1133.02152504,3767.5852072,18,1716,30,18366.2860546
204,204,12.5663706144,7192.63358993,614.474280631,628.89022553,2306.09142593,1076.30881161,4272.06788337,22,1928,29,19324.5540011
239,239,12.5663706144,9273.073069,744.594972726,709.908630733,2751.09819745,1279.87676232,5777.37989882,12,1282,18,26828.143652
211,211,12.5663706144,5796.61667774,385.818953489,441.427948398,1821.38380203,845.098281051,3589.41392222,19,1707,24,15419.69229
229,229,12.5663706144,9131.45498379,838.117807251,782.775464713,2726.30196349,1312.41916537,5567.03521305,22,2011,31,26025.6278282
